state,region,keyword,volume,Apr-19,Aug-19,Dec-19,Feb-20,Jan-20,Jul-19,Jun-19,Mar-20,May-19,Nov-19,Oct-19,Sep-19
Delaware,South,mangos,1300,1300,1900,880,1000,1000,2400,1600,1000,1600,1000,1000,1300
Delaware,South,olives,260,210,210,260,320,260,260,260,320,210,320,210,210
Delaware,South,oranges,1000,1000,880,880,1000,1000,880,880,1600,1000,1000,1000,880
Delaware,South,passionfruit,480,480,590,320,480,480,590,590,480,480,390,390,480
Delaware,South,peaches,720,590,1000,720,720,720,880,720,1000,720,720,720,880
Delaware,South,pears,320,320,260,260,320,260,210,210,390,260,320,320,320
Delaware,South,pineapples,1000,1300,1000,880,880,1000,1300,1300,1300,1600,1000,1000,1000
Delaware,South,plums,260,260,320,260,260,170,320,320,260,260,260,260,390
Delaware,South,pomegranates,590,480,480,880,720,590,390,480,590,480,1000,720,480
Delaware,South,raspberries,320,320,390,260,320,260,390,480,390,480,260,260,210
Delaware,South,strawberries,880,1000,720,590,1300,880,880,1000,1300,1600,720,720,720
Delaware,South,tomatoes,590,590,720,480,590,480,720,590,720,590,480,590,480
Delaware,South,watermelons,720,720,1000,390,590,390,1300,1300,880,1000,480,590,590
Florida,South,acerolas,260,260,260,140,210,170,260,320,260,320,210,260,260
Florida,South,apples,450000,301000,823000,550000,301000,368000,301000,301000,368000,301000,450000,450000,1220000
Florida,South,apricots,6600,6600,8100,5400,6600,6600,8100,8100,6600,6600,6600,6600,6600
Florida,South,avocados,27100,33100,33100,22200,27100,33100,33100,27100,33100,33100,27100,27100,27100
Florida,South,bananas,40500,40500,33100,40500,40500,40500,33100,33100,49500,40500,33100,40500,33100
Florida,South,blackberries,22200,27100,22200,18100,18100,18100,22200,22200,18100,27100,18100,22200,22200
Florida,South,blueberries,14800,18100,14800,12100,18100,14800,14800,14800,18100,18100,12100,12100,12100
Florida,South,cantaloupes,9900,9900,9900,8100,9900,9900,9900,12100,12100,12100,8100,8100,9900
Florida,South,cherries,12100,9900,12100,12100,9900,12100,18100,12100,12100,9900,9900,9900,9900
Florida,South,coconuts,18100,18100,18100,18100,18100,18100,27100,18100,18100,18100,14800,14800,14800
Florida,South,figs,18100,14800,18100,22200,18100,18100,22200,18100,22200,18100,22200,22200,18100
Florida,South,grapefruits,9900,9900,9900,9900,9900,12100,9900,9900,12100,9900,8100,8100,8100
Florida,South,grapes,9900,9900,9900,8100,9900,9900,8100,8100,12100,9900,9900,12100,12100
Florida,South,guava,14800,14800,14800,12100,14800,14800,14800,14800,14800,12100,12100,12100,12100
Florida,South,kiwifruit,1900,2400,1900,1600,1900,1900,2400,2900,1900,2900,1900,1900,1600
Florida,South,lemons,18100,18100,14800,14800,14800,18100,18100,18100,22200,18100,14800,14800,14800
Florida,South,limes,22200,22200,22200,22200,22200,22200,22200,18100,27100,22200,18100,22200,22200
Florida,South,mangos,40500,40500,40500,33100,40500,40500,49500,49500,40500,40500,33100,33100,33100
Florida,South,olives,6600,6600,6600,6600,6600,8100,6600,5400,8100,6600,6600,6600,6600
Florida,South,oranges,33100,27100,27100,27100,33100,33100,27100,27100,40500,27100,27100,33100,33100
Florida,South,passionfruit,22200,18100,22200,18100,22200,22200,27100,27100,18100,22200,18100,18100,18100
Florida,South,peaches,22200,18100,18100,22200,22200,22200,18100,18100,27100,18100,18100,22200,22200
Florida,South,pears,6600,8100,6600,6600,6600,8100,5400,5400,8100,6600,6600,8100,6600
Florida,South,pineapples,33100,33100,33100,27100,27100,27100,40500,40500,33100,40500,27100,27100,27100
Florida,South,plums,8100,8100,9900,6600,6600,6600,9900,8100,6600,8100,6600,8100,9900
Florida,South,pomegranates,14800,12100,12100,22200,18100,18100,12100,14800,12100,14800,22200,18100,14800
Florida,South,raspberries,9900,9900,9900,8100,9900,9900,9900,9900,9900,9900,8100,8100,8100
Florida,South,strawberries,22200,22200,22200,18100,33100,27100,22200,22200,33100,22200,18100,22200,22200
Florida,South,tomatoes,14800,14800,14800,12100,14800,14800,12100,12100,22200,14800,14800,14800,14800
Florida,South,watermelons,18100,18100,22200,12100,14800,12100,27100,27100,22200,22200,12100,14800,14800
Georgia,South,acerolas,30,20,20,20,20,30,40,20,20,30,40,20,40
Georgia,South,apples,201000,110000,368000,246000,135000,135000,135000,135000,165000,135000,201000,165000,550000
Georgia,South,apricots,3600,3600,3600,2900,2900,2900,4400,4400,2900,3600,2400,2900,3600
Georgia,South,avocados,14800,14800,14800,12100,14800,14800,14800,14800,14800,14800,12100,12100,12100
Georgia,South,bananas,14800,18100,18100,14800,18100,18100,14800,14800,22200,18100,14800,14800,14800
Georgia,South,blackberries,9900,12100,12100,8100,8100,9900,9900,12100,8100,9900,9900,9900,9900
Georgia,South,blueberries,6600,6600,6600,4400,6600,6600,6600,8100,8100,8100,4400,5400,5400
Georgia,South,cantaloupes,4400,5400,5400,2900,3600,4400,5400,6600,4400,5400,2900,3600,4400
Georgia,South,cherries,4400,3600,5400,4400,4400,4400,6600,5400,5400,4400,3600,4400,4400
Georgia,South,coconuts,5400,4400,5400,4400,4400,4400,9900,4400,5400,5400,4400,4400,4400
Georgia,South,figs,8100,6600,9900,8100,6600,8100,12100,8100,8100,6600,8100,8100,8100
Georgia,South,grapefruits,3600,3600,3600,3600,4400,4400,3600,3600,4400,4400,3600,3600,3600
Georgia,South,grapes,4400,4400,5400,3600,4400,5400,4400,3600,5400,4400,4400,5400,5400
Georgia,South,guava,5400,5400,5400,4400,4400,5400,5400,5400,5400,5400,4400,4400,4400
Georgia,South,kiwifruit,1000,1300,880,720,880,1000,1000,1300,880,1300,880,720,720
Georgia,South,lemons,8100,8100,6600,6600,6600,8100,8100,8100,9900,9900,6600,6600,6600
Georgia,South,limes,4400,5400,3600,2900,3600,4400,4400,4400,5400,4400,3600,3600,4400
Georgia,South,mangos,14800,18100,18100,14800,18100,18100,18100,18100,14800,18100,14800,14800,14800
Georgia,South,olives,2900,2900,2900,3600,2900,2900,2900,2400,3600,2900,3600,2900,2900
Georgia,South,oranges,14800,12100,14800,14800,14800,14800,12100,12100,18100,12100,14800,14800,14800
